symbol,FullName,Exchange,ISIN,Currency,Country
0AG0.F,"COILED THERAPEUT. LS -,01",Frankfurt (FWB),GB00BSHRN331,EUR,Germany
0AH1.F,"AUTOHELLAS S.A.NA EO 1,08",Frankfurt (FWB),GRS337003008,EUR,Germany
0AJ.F,"STRIDE INC.   DL -,0001",Frankfurt (FWB),US86333M1080,EUR,Germany
0AK.F,"ARAMARK           DL -,01",Frankfurt (FWB),US03852U1060,EUR,Germany
0AP.F,APPENINN VAG.H.NY.M.UF100,Frankfurt (FWB),HU0000102132,EUR,Germany
0AS.F,"ENTECH SE    EO-,2",Frankfurt (FWB),FR0014004362,EUR,Germany
0AV.F,"WAGA ENERGY (PROM.)EO-,01",Frankfurt (FWB),FR0012532810,EUR,Germany
0AW.F,AIR WATER INC.,Frankfurt (FWB),JP3160670000,EUR,Germany
0AY.F,PURECYCLE TECHNOLOGIES,Frankfurt (FWB),US74623V1035,EUR,Germany
0AZ.F,JEUDAN A/S NAM.    DK 20,Frankfurt (FWB),DK0061282464,EUR,Germany
0B0.F,"CBO TERRITORIA    EO 1,32",Frankfurt (FWB),FR0010193979,EUR,Germany
0B1.F,"CCC INT.SOL.HLDG.DL-,0001",Frankfurt (FWB),US12510Q1004,EUR,Germany
0B2.F,BAWAG GROUP AG,Frankfurt (FWB),AT0000BAWAG2,EUR,Germany
0B3.F,GRE.PAC.GOL.COR.NEW. O.N.,Frankfurt (FWB),CA39115B1058,EUR,Germany
0B51.F,OSISKO METALS INC.   O.N.,Frankfurt (FWB),CA6882741094,EUR,Germany
0B7.F,BOSSARD HLDG NAM.    SF 5,Frankfurt (FWB),CH0238627142,EUR,Germany
0B8.F,"BASLER KT.BK PS SF 8,5",Frankfurt (FWB),CH0009236461,EUR,Germany
0BE.F,DOVRE GROUP OYJ,Frankfurt (FWB),FI0009008098,EUR,Germany
0BF0.F,WIMI HOLOG.CLOUD B.NEW DL,Frankfurt (FWB),KYG9687V2040,EUR,Germany
0BJ.F,DOXEE S.P.A          EO 1,Frankfurt (FWB),IT0005394413,EUR,Germany
0BK.F,MITSUBISHI STEEL MFG,Frankfurt (FWB),JP3900800008,EUR,Germany
0BM.F,RTW BIOTECH OPPORTUNITIES,Frankfurt (FWB),GG00BKTRRM22,EUR,Germany
0BO.F,JIANGSU HENG.PHAR. H YC 1,Frankfurt (FWB),CNE100006XS6,EUR,Germany
0BP.F,CHARGER METALS NL,Frankfurt (FWB),AU0000156143,EUR,Germany
0BQ.F,NORSKE SKOG AS       NK 4,Frankfurt (FWB),NO0010861115,EUR,Germany
0BS.F,BAPCOR LTD.,Frankfurt (FWB),AU000000BAP9,EUR,Germany
0BT1.F,BACTECH ENVIRONMENT.CORP.,Frankfurt (FWB),CA0704902067,EUR,Germany
0BX.F,BRIGHT SM.SECS+COMMOD.GRP,Frankfurt (FWB),KYG1644A1004,EUR,Germany
0C0.F,MUSTGROW BIOLOGICS CORP.,Frankfurt (FWB),CA62822A1030,EUR,Germany
0C2.F,CHUBU EL. PWR,Frankfurt (FWB),JP3526600006,EUR,Germany
0C6.F,"CARGURUS INC.CL.A DL-,001",Frankfurt (FWB),US1417881091,EUR,Germany
0C9.F,CHEET.M.ADR 50 NEW,Frankfurt (FWB),US1630752038,EUR,Germany
0CD.F,CANATU A             EO 1,Frankfurt (FWB),FI4000512496,EUR,Germany
0CF.F,ORGANOCLICK AB,Frankfurt (FWB),SE0006510335,EUR,Germany
0CG.F,"CHEGG INC.       DL -,001",Frankfurt (FWB),US1630921096,EUR,Germany
0CI.F,CHINA CIND.ASS.MGMT H YC1,Frankfurt (FWB),CNE100001QS1,EUR,Germany
0CJ.F,"DB ENERGY S.A.   ZY -,10",Frankfurt (FWB),PLDBENR00017,EUR,Germany
0CKA.F,CIG PANNONIA LIFE INSURA.,Frankfurt (FWB),HU0000180112,EUR,Germany
0CL.F,CLOETTA B,Frankfurt (FWB),SE0002626861,EUR,Germany
0CM.F,CASA MINERALS INC. NEW,Frankfurt (FWB),CA14712X1078,EUR,Germany
0CP1.F,CHAROEN POKPHAND    RP 10,Frankfurt (FWB),ID1000117708,EUR,Germany
0CT.F,"CARD FACTORY PLC   LS-,01",Frankfurt (FWB),GB00BLY2F708,EUR,Germany
0CVM.F,METALLIS RESOURCES INC.,Frankfurt (FWB),CA59125R1064,EUR,Germany
0CY.F,MASI AGRICOLA S.P.A.,Frankfurt (FWB),IT0004125677,EUR,Germany
0D0.F,BLACKROCK AM.INC.TR. LS 1,Frankfurt (FWB),GB00B7W0XJ61,EUR,Germany
0DA.F,"DORIAN LPG LTD     DL-,01",Frankfurt (FWB),MHY2106R1100,EUR,Germany
0DH.F,DARMA HENWA TBK    RP 100,Frankfurt (FWB),ID1000107303,EUR,Germany
0DI.F,"LCI INDS           DL-,01",Frankfurt (FWB),US50189K1034,EUR,Germany
0DL.F,"BIOSYNEX INH.      EO-,10",Frankfurt (FWB),FR0011005933,EUR,Germany
0DPS.F,DEXUS,Frankfurt (FWB),AU000000DXS1,EUR,Germany
0DX.F,NANJING LEADS BIOLABS CO.,Frankfurt (FWB),CNE1000070H8,EUR,Germany
0DY.F,"FLANIGANS ENTER. DL-,1",Frankfurt (FWB),US3385171059,EUR,Germany
0E6.F,SCANDIUM INTL MNG,Frankfurt (FWB),CA80600L1094,EUR,Germany
0E7.F,NEUBERGER BERMAN H.YLD S.,Frankfurt (FWB),US64128C1062,EUR,Germany
0E90.F,ABOUND ENERGY INC.  O.N.,Frankfurt (FWB),CA0037352063,EUR,Germany
0EB.F,CHURCHILL RESOURCES INC.,Frankfurt (FWB),CA1715521029,EUR,Germany
0EC.F,EVERBRIGHT SECUR.  H YC 1,Frankfurt (FWB),CNE1000029M4,EUR,Germany
