symbol,FullName,Exchange,ISIN,Currency,Country
66XD.L,EDITA FOOD INDUSTRIES SAE,LSE,US28106T1007,GBP,United Kingdom
67GX.L,NORTHGATE PLC,LSE,GB0003775664,GBP,United Kingdom
67HG.L,L.A.B.INVESTMENTS,LSE,GB0005015580,GBP,United Kingdom
67HN.L,MERIVALE MOORE,LSE,GB0005786594,GBP,United Kingdom
67NW.L,EZZ STEEL,LSE,US26934Q1085,GBP,United Kingdom
68HB.L,HOUSING FINANCE CORP,LSE,GB0004410071,GBP,United Kingdom
68HN.L,MENZIES(JOHN),LSE,GB0005790273,GBP,United Kingdom
69IR.L,BANQUE MAROCAINE DU COMM EXTERIEUR,LSE,US06674P1066,GBP,United Kingdom
69SI.L,PAO TMK,LSE,US87260R1023,GBP,United Kingdom
69ZM.L,INTU DEBENTURE PLC,LSE,GB00B1DBF788,GBP,United Kingdom
70GD.L,ANTOFAGASTA,LSE,GB0000455849,GBP,United Kingdom
70GU.L,FINTRUST DEBENTURE,LSE,GB0031578841,GBP,United Kingdom
70HF.L,KEYSTONE INVESTMENT TRUST,LSE,GB0004912282,GBP,United Kingdom
70SK.L,PHARMSTANDARD PJSC,LSE,US7171401075,GBP,United Kingdom
70ZF.L,PIK GROUP PJSC,LSE,US69338N1072,GBP,United Kingdom
71BT.L,DEPA LTD,LSE,US2495081026,GBP,United Kingdom
71FG.L,NOVOROSSIYSK COMMERCIAL SEA PORT,LSE,US67011U1097,GBP,United Kingdom
71HN.L,MERCANTILE INVESTMENT TST PLC(THE),LSE,GB0005795009,GBP,United Kingdom
71HT.L,MHP SA,LSE,US55302T1051,GBP,United Kingdom
72GU.L,FISHGUARD & ROSSLARE RLYS & HBRS CO,LSE,GB0003401261,GBP,United Kingdom
72HN.L,MERCHANTS TRUST,LSE,GB0005800296,GBP,United Kingdom
73CL.L,FRUTAROM INDUSTRIES,LSE,US35950R1068,GBP,United Kingdom
73HF.L,KEYSTONE INVESTMENT TRUST,LSE,GB0004913470,GBP,United Kingdom
73HN.L,MERCHANTS TRUST,LSE,GB0005800858,GBP,United Kingdom
76ID.L,ROTORK,LSE,GB0007530149,GBP,United Kingdom
77GD.L,BBVA CAPITAL FUNDING,LSE,KYG089961117,GBP,United Kingdom
77GE.L,BBA AVIATION PLC,LSE,GB0000677822,GBP,United Kingdom
78GL.L,CAFFYNS,LSE,GB0001615433,GBP,United Kingdom
79GL.L,CAFFYNS,LSE,GB0001615540,GBP,United Kingdom
7DIG.L,7DIGITAL GROUP PLC,LSE AIM,GB00BMH46555,GBP,United Kingdom
80IR.L,EIH,LSE,US2685251025,GBP,United Kingdom
80LJ.L,BBVA INTERNATIONAL,LSE,KYG0731H1011,GBP,United Kingdom
80NI.L,SOUTH EAST WATER,LSE,GB0009519595,GBP,United Kingdom
81HS.L,NATIONAL WESTMINSTER BANK,LSE,GB0006217243,GBP,United Kingdom
81JK.L,GAZPROM OAO,LSE,US3682871088,GBP,United Kingdom
81NI.L,SOUTH EAST WATER,LSE,GB0005888416,GBP,United Kingdom
82FN.L,TRADER MEDIA EAST,LSE,US89255G1094,GBP,United Kingdom
82HP.L,ROLTA INDIA,LSE,US7757901084,GBP,United Kingdom
82IL.L,CITY OF LONDON INVESTMENT TRUST,LSE,GB0008689522,GBP,United Kingdom
82JS.L,SCOTTISH MORTGAGE INVESTMENT TST,LSE,GB0007867426,GBP,United Kingdom
82LO.L,MONKS INVESTMENT TRUST,LSE,GB0002782273,GBP,United Kingdom
82NI.L,SOUTH EAST WATER,LSE,GB0005888077,GBP,United Kingdom
82OU.L,BANCA LOMBARDA PREFERRED SECURITIES,LSE,XS0108805564,GBP,United Kingdom
83GK.L,BET,LSE,GB0001330819,GBP,United Kingdom
83NI.L,SOUTH EAST WATER,LSE,GB0005888291,GBP,United Kingdom
83SF.L,BARCLAYS BANK PLC,LSE,GB00B28YJW21,GBP,United Kingdom
83SK.L,BARCLAYS BANK PLC,LSE,GB00B28YJT91,GBP,United Kingdom
84GK.L,BET,LSE,GB0001331007,GBP,United Kingdom
84HW.L,HOME GROUP,LSE,GB0006441744,GBP,United Kingdom
84NI.L,SOUTH EAST WATER,LSE,GB0003007779,GBP,United Kingdom
85GU.L,COBHAM PLC,LSE,GB0003430401,GBP,United Kingdom
85HW.L,HOME GROUP,LSE,GB0006441967,GBP,United Kingdom
85PL.L,BANK PEKAO SA,LSE,US0644511075,GBP,United Kingdom
86CL.L,CHERKIZOVO GROUP PJSC,LSE,US1641451042,GBP,United Kingdom
86HK.L,MAJEDIE INVESTMENTS,LSE,GB0005583389,GBP,United Kingdom
86HW.L,HOME GROUP,LSE,GB0006442155,GBP,United Kingdom
86IP.L,WITAN INVESTMENT TRUST,LSE,GB0009743658,GBP,United Kingdom
